,AptName,EntrezGeneID,EntrezGeneSymbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,plasma_membrane_associated,in_tissue_atlas,log.adj.P.Val,myeloid_plasma,myeloid_soluble,liver
85,ADH4.8325.37,127,ADH4,-0.327908333164464,7.0890201333512906,-0.474284658990193,0.6485551695890649,0.7905142507023001,-6.607573354765,False,True,0.10209029657859457,False,False,True
86,ADH5.11369.23,128,ADH5,-0.278713992325819,6.8426466395978,-1.49914896621578,0.17397051748081602,0.3706225691556,-5.669436882330309,False,True,0.4310681377389373,False,False,False
87,ADH6.18206.18,130,ADH6,-0.285119654838221,6.863979735425401,-1.3278871990840302,0.222514451689987,0.42412029552575103,-5.883724921308759,False,True,0.37251094464959755,False,False,True
88,ADH7.11377.19,131,ADH7,-0.750066990392192,6.91193355945441,-3.9954527928520096,0.00436558895221738,0.0619775678292911,-1.9929931755636698,False,True,1.2077654706756853,False,False,False
89,ADI1.12457.10,,ADI1,-0.401762350170379,5.90829486908258,-1.58052389039103,0.15441365763083498,0.34919301913056605,-5.670888901254161,False,True,0.45693444704945296,False,False,False
90,ADIPOQ.3554.24,9370,ADIPOQ,0.137371977435201,7.234518452714799,0.36738416554039,0.723299932865034,0.8442460382132819,-6.62554422551573,False,True,0.07353096869805541,False,False,False
91,ADK.19207.119,132,ADK,-0.881477655210261,5.614528767965009,-5.45986999668365,0.000704021905075244,0.0275647320512513,-0.22309178034081303,False,True,1.5596462248146263,False,False,False
92,ADM.14115.34,133,ADM,0.288485110516992,7.09223561170066,1.4984902888854,0.174137560548888,0.37081057010998497,-5.6268423855470395,False,True,0.43084789460571926,False,True,False
93,ADM2.8100.15,79924,ADM2,0.00512050112225593,3.05928111504489,0.0257118194070961,0.980146023501838,0.9919994042328629,-7.16387989251561,False,True,0.0034885886708796374,False,False,False
94,ADM.7922.5,133,ADM,0.125932860948343,5.028446351005099,0.711354427041505,0.49800406694786203,0.672912439082457,-6.72797238091633,False,True,0.17204144349861894,False,True,False
95,ADPGK.6221.1,83440,ADPGK,-0.34287546612079806,6.4564780125517,-1.3280824536296498,0.22245297451940801,0.42412029552575103,-5.94850275351982,False,True,0.37251094464959755,False,False,False
96,ADPRH.18395.5,141,ADPRH,0.43776768483438,8.32091082863253,1.4421320225637901,0.18897346031520498,0.38766743864139197,-5.56287398980496,False,True,0.4115406751656864,False,False,False
97,ADPRHL2.17332.3,54936,ADPRHL2,-1.19567727145153,7.96238030843238,-2.76046894592922,0.0257696343000202,0.13429889149047,-3.7081650053588504,False,True,0.8719275720040981,False,False,False
98,ADRBK1.3347.9,156,ADRBK1,-0.0215268457410431,8.335989555308501,-0.0785412094695041,0.9394154624154369,0.9709837834673941,-6.5748953875072305,False,False,0.012788023242805624,False,False,False
99,ADRM1.9057.19,11047,ADRM1,-0.133512031742656,5.08372241563184,-0.7365093422172501,0.48341886222895397,0.663772726759644,-6.700166133737401,False,True,0.17798059594839108,False,False,False
100,ADSL.5023.23,158,ADSL,-1.31356494659448,7.19826832028484,-5.03013166895264,0.00116484515835406,0.0343832032519388,-0.589244779221857,False,True,1.4636536654663925,False,False,False
101,ADSSL1.13998.26,,ADSSL1,-0.0563656259891898,5.461486526575789,-0.22107433051639802,0.830827887174871,0.909328307102118,-6.931510771119361,False,True,0.04127928925264897,False,False,False
102,AES.18396.10,166,AES,0.292792027487191,5.52978000575261,1.7105557739422501,0.12730590837421701,0.313173865556229,-5.558549532866219,False,True,0.5042144870939357,False,False,False
103,AFAP1L1.9889.42,134265,AFAP1L1,0.0521085995631769,3.4494699991399105,0.437473545095916,0.6738699722213511,0.8087975471157759,-7.03292519956739,False,True,0.09216017452350767,False,False,False
